Line #,Key,en Version,ru Translation
366,ru.app.msgs.collaborators.error_invitations_all,No invitations were sent due to the following erros: %{msg},No invitations were sent due to the following erros: %{msg}
367,ru.app.msgs.collaborators.error_invitations_some,"Some invitations were sent, but some were not due to the following erros: %{msg}","Some invitations were sent, but some were not due to the following erros: %{msg}"
368,ru.app.msgs.notification.true,You will be sent notifications.,You will be sent notifications.
369,ru.app.msgs.notification.false,You will not be sent notifications.,You will not be sent notifications.
370,ru.app.msgs.notification.new_theme_all_success,You will recieve a notification whenever a theme is added.,You will recieve a notification whenever a theme is added.
371,ru.app.msgs.notification.new_theme_none_success,You will not receive any notifications when themes are added.,You will not receive any notifications when themes are added.
372,ru.app.msgs.notification.new_story_by_type_success,You will receive a notification when a story is added to these types: %{types}.,You will receive a notification when a story is added to these types: %{types}.
373,ru.app.msgs.notification.story_comments_yes,You will be sent notifications when a comment is made to one of your stories.,You will be sent notifications when a comment is made to one of your stories.
374,ru.app.msgs.notification.story_comments_no,You will not be sent notifications when a comment is made to one of your stories.,You will not be sent notifications when a comment is made to one of your stories.
375,ru.app.msgs.notification.following_no,You will no longer receive notifications about new stories from '%{name}'.,You will no longer receive notifications about new stories from '%{name}'.
376,ru.app.msgs.notification.language,You will be sent notifications in %{language}.,You will be sent notifications in %{language}.
377,ru.app.msgs.fail_change_order,The item was not able to be moved,The item was not able to be moved
378,ru.app.msgs.nothing_selected,Please select a section/item to delete,Please select a section/item to delete
379,ru.app.msgs.fail_delete,The section/item could not be deleted,The section/item could not be deleted
380,ru.app.msgs.confirm_delete,Are you sure you want to delete this section/item?,Are you sure you want to delete this section/item?
381,ru.app.msgs.video_processed,Your video is processed,Your video is processed
382,ru.app.msgs.video_not_processed,Your video is being processed,Your video is being processed
383,ru.app.msgs.not_found_for_update,The record to update could not be found in the database.,The record to update could not be found in the database.
384,ru.section_types.content.name,Text,Text
385,ru.section_types.content.description,"Can include html, css styling and images","Can include html, css styling and images"
386,ru.section_types.media.name,Full-Screen Media Slideshow,Full-Screen Media Slideshow
387,ru.section_types.media.description,Images and/or videos as a full-screen vertical slideshow,Images and/or videos as a full-screen vertical slideshow
388,ru.section_types.slideshow.name,Image Slideshow,Image Slideshow
389,ru.section_types.slideshow.description,Images in a horizontal slideshow,Images in a horizontal slideshow
390,ru.section_types.embed_media.name,Embed Online Media,Embed Online Media
391,ru.section_types.embed_media.description,"YouTube, Vimeo, etc","YouTube, Vimeo, etc"
392,ru.section_types.youtube.name,YouTube Video,YouTube Video
393,ru.section_types.youtube.description,YouTube video with ability to setting caption language,YouTube video with ability to setting caption language
394,ru.story_role.editor,Editor,Editor
395,ru.story_role.translator,Translator,Translator
396,ru.message_types.bug,Report a Bug,Report a Bug
397,ru.message_types.feature,Request a Feature,Request a Feature
398,ru.message_types.feedback,General Feedback,General Feedback
399,ru.filters.all,All,All
400,ru.filters.matches,Matches,Matches
401,ru.filters.staff_pick,Staff Pick,Staff Pick
402,ru.filters.staff_pick_title,View stories that have been selected as Staff Picks,View stories that have been selected as Staff Picks
403,ru.filters.staff_pick_title_active,Remove Staff Pick filter,Remove Staff Pick filter
404,ru.filters.sort_header,Sorted By,Sorted By
405,ru.filters.sort_title,Indicate how the stories should be sorted,Indicate how the stories should be sorted
